word,history,part_of_speech
carne,,substantivo feminino
caros,,
carpa,,substantivo feminino
carpe,,
carpo,,substantivo masculino
carro,,substantivo masculino
carta,,substantivo feminino
carte,,substantivo masculino
casai,,
casal,,substantivo masculino
casam,,
casao,,substantivo masculino
casar,,verbo intransitivo
casas,,substantivo feminino plural
casca,,substantivo feminino
casco,,substantivo masculino
casei,,
casem,,
cases,,
casos,,
casou,,
caspa,,substantivo feminino
cassa,,substantivo feminino
casse,,substantivo masculino
casso,,
casta,,substantivo feminino
caste,,
casto,,adjetivo
catai,,
catam,,
catar,,verbo transitivo
catas,,
catei,,
catem,,
cates,,
catou,,
catre,,substantivo masculino
catua,,
cauas,,
cauda,,substantivo feminino
caues,,
cauim,,substantivo masculino
caule,,substantivo masculino
caupi,,
cauri,,substantivo masculino
causa,,substantivo feminino
causo,,substantivo masculino
cauta,,
cauto,,adjetivo
cavai,,
cavam,,
cavar,,verbo transitivo e intransitivo
cavas,,
cavea,,substantivo feminino
cavei,,
cavem,,
caves,,
cavou,,
cdrom,,
ceara,,
cedem,,substantivo masculino
ceder,,verbo transitivo direto e bitransitivo
cedro,,substantivo masculino
cegar,,"verbo transitivo direto, intransitivo e pronominal"
ceiba,,substantivo feminino
ceifa,,substantivo feminino
ceife,,
ceifo,,
ceita,,substantivo feminino
ceive,,substantivo masculino
celga,,substantivo feminino
celha,,substantivo feminino
celia,,
celio,,
celme,,
celsa,,
celso,,adjetivo
celta,,adjetivo
cemba,,feminino
cenas,,
cenho,,substantivo masculino
censo,,substantivo masculino
cento,,substantivo masculino
cerca,,substantivo feminino
cerce,,adjetivo
cerco,,substantivo masculino
cerda,,substantivo feminino
cerdo,,substantivo masculino
ceres,,substantivo feminino
cerio,,substantivo masculino
cerne,,substantivo masculino
cerol,,substantivo masculino
cerra,,
cerre,,
cerro,,substantivo masculino
certa,,substantivo feminino
certo,,adjetivo
cerva,,substantivo feminino
cervo,,substantivo masculino
cesar,,substantivo masculino
cesio,,substantivo masculino
cessa,,
cesse,,
cesso,,
cesta,,substantivo feminino
cesto,,substantivo masculino
cetim,,substantivo masculino
cetro,,substantivo masculino
ceuta,,
cevar,,verbo transitivo
chabu,,substantivo masculino
chaco,,substantivo masculino
chada,,
chade,,
chaga,,substantivo feminino
chale,,substantivo masculino
chama,,substantivo feminino
chana,,substantivo feminino
chapa,,substantivo feminino
chape,,substantivo masculino
chapo,,adjetivo
chara,,
chata,,substantivo feminino
chato,,adjetivo
chaul,,
chave,,substantivo feminino
chavo,,substantivo masculino
checo,,
chefa,,
chefe,,substantivo masculino e feminino
chega,,substantivo deverbal
cheia,,substantivo feminino
cheio,,adjetivo
cheka,,
cheva,,
chiao,,substantivo masculino
chiar,,verbo intransitivo
chiba,,substantivo feminino
chibe,,substantivo masculino e feminino
chibo,,substantivo masculino
chica,,
chico,,substantivo masculino
chile,,substantivo masculino
china,,substantivo feminino
chipe,,
chita,,substantivo feminino
chito,,substantivo masculino
choca,,substantivo feminino
choco,,substantivo masculino
choer,,
chola,,substantivo feminino
cholo,,
chona,,substantivo feminino
chope,,substantivo masculino
chora,,substantivo feminino
chore,,
choro,,substantivo masculino
choto,,substantivo masculino
chuca,,feminino
chuco,,substantivo masculino
chufa,,substantivo feminino
chula,,adjetivo
chule,,substantivo masculino
chulo,,adjetivo
chuta,,substantivo deverbal
chute,,substantivo masculino
chuto,,substantivo masculino
chuva,,substantivo feminino
ciada,,
ciano,,substantivo masculino
ciaos,,
cibar,,verbo pronominal
ciclo,,substantivo masculino
cidra,,substantivo feminino
cifra,,substantivo feminino
cifre,,
cifro,,
cigas,,substantivo feminino plural
cilha,,substantivo feminino
cilho,,
cilio,,substantivo masculino
cimao,,
cinco,,numeral
cinta,,substantivo feminino
cinto,,substantivo masculino
cinza,,substantivo feminino
cioso,,adjetivo
cipra,,
cipro,,
circo,,substantivo masculino
ciria,,feminino
cirio,,substantivo masculino
cirro,,substantivo masculino
cisao,,substantivo feminino
cisca,,
cisco,,substantivo masculino
cisma,,substantivo masculino
cisne,,substantivo masculino
cisto,,substantivo masculino
citai,,
citam,,
citar,,verbo transitivo direto
citas,,substantivo masculino plural
citei,,
citem,,
cites,,
citou,,
citro,,substantivo masculino
ciume,,substantivo masculino
civil,,adjetivo
clado,,
claim,,
clame,,
clamo,,
clara,,substantivo feminino
claro,,adjetivo
clava,,substantivo feminino
clave,,substantivo feminino
clean,,adjetivo
clero,,substantivo masculino
clica,,
click,,substantivo masculino
clima,,substantivo masculino
clina,,substantivo feminino
clipe,,substantivo masculino
clone,,substantivo masculino
cloro,,substantivo masculino
close,,substantivo masculino
cloto,,
clown,,substantivo masculino
clube,,substantivo masculino
coais,,
coala,,substantivo masculino
coara,,
coari,,
coava,,
coboi,,
cobra,,substantivo feminino
cobre,,substantivo masculino
cobri,,
cobro,,substantivo masculino
cocal,,substantivo masculino
cocao,,substantivo masculino
cocar,,substantivo masculino
cocha,,substantivo feminino
coche,,substantivo masculino
cocho,,substantivo masculino
cocos,,
codea,,substantivo feminino
codeo,,substantivo masculino
codex,,substantivo masculino
coeis,,
coeso,,adjetivo
coevo,,adjetivo
cofre,,substantivo masculino
coias,,
coice,,substantivo masculino
coifa,,substantivo feminino
coima,,substantivo feminino
coime,,
coina,,
coine,,
coira,,substantivo feminino
coiro,,substantivo masculino
