word,history,part_of_speech
xampu,,substantivo masculino
xango,,substantivo masculino
xarda,,substantivo feminino
xardo,,
xarel,,
xarem,,
xaria,,substantivo masculino e feminino
xaual,,
xaxar,,
xaxim,,substantivo masculino
xebra,,
xebre,,
xeica,,
xelim,,substantivo masculino
xenao,,
xenio,,
xenon,,
xeque,,substantivo masculino
xerem,,substantivo masculino
xerez,,substantivo masculino
xerox,,substantivo masculino
xerpa,,
xexeu,,substantivo masculino
xhosa,,
xiita,,substantivo masculino e feminino
ximbe,,adjetivo
xinga,,
xinto,,substantivo masculino
xista,,
xisto,,substantivo masculino
xocar,,
xofar,,
xofre,,
xogum,,
xopim,,
xorca,,substantivo feminino
xordo,,
xorte,,
xotai,,
xotam,,
xotar,,verbo transitivo direto
xotas,,
xotei,,
xotem,,
xotes,,
xotou,,
xouva,,
xuate,,substantivo masculino
xucro,,adjetivo
xurro,,
yacht,,
zagal,,substantivo masculino
zagre,,
zaino,,adjetivo
zaira,,
zairo,,
zamba,,
zambi,,
zambo,,"adjetivo, substantivo masculino"
zanga,,substantivo feminino
zanze,,
zanzo,,substantivo masculino
zapar,,
zavar,,
zazao,,
zebra,,substantivo feminino
zebro,,
zeila,,
zelam,,
zelar,,verbo transitivo direto e transitivo indireto
zelia,,
zelio,,
zelos,,
zerar,,verbo transitivo direto
zeros,,
zeugo,,substantivo masculino
zicha,,
zicho,,
zinco,,substantivo masculino
zinga,,substantivo feminino
zinir,,verbo intransitivo
zipai,,
zipam,,
zipar,,
zipas,,
zipei,,
zipem,,
ziper,,substantivo masculino
zipes,,
zipou,,
zloti,,substantivo masculino
zloty,,
zoeia,,
zoiao,,
zoico,,adjetivo
zoilo,,substantivo masculino
zoira,,
zomba,,
zombe,,
zombo,,
zonar,,verbo transitivo direto
zonca,,
zorra,,substantivo feminino
zorro,,adjetivo
zoupo,,
zoura,,
zuate,,
zucar,,
zuela,,
zumbi,,substantivo masculino
zunge,,
zunia,,
zunir,,verbo intransitivo
zupar,,
zurra,,
zurre,,
zurro,,substantivo masculino
zuruo,,adjetivo masculino e feminino
zurza,,
